,Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Power,Temperature difference,Torque x Tool wear,Actual,Probability,Predicted,TWF,HDF,PWF,OSF,RNF
7884,L,300.8,312.4,1465,59.1,91,9066.793477892823,11.599999999999966,5378.1,1,0.5275,0,0,0,1,0,0
3695,L,302.2,311.3,1530,37.3,207,5976.251704923863,9.100000000000023,7721.099999999999,1,0.5230096165667838,0,1,0,0,0,0
4307,L,301.4,309.9,1259,63.9,20,8424.714771352139,8.5,1278.0,1,0.5175,0,0,1,0,0,0
2864,H,300.6,309.4,1380,47.6,246,6878.831274300211,8.799999999999955,11709.6,1,0.44494897959183677,0,1,0,0,0,0
7087,L,300.6,310.3,1648,30.5,217,5263.633771334578,9.699999999999989,6618.5,1,0.3719403246494463,0,1,0,0,0,0
4034,L,302.0,310.8,1615,29.0,235,4904.549731029266,8.800000000000011,6815.0,1,0.32384518664430123,0,1,0,0,0,0
4778,H,303.6,312.2,1371,54.6,112,7838.964821090324,8.599999999999966,6115.2,1,0.3174308464926415,0,0,1,0,0,0
7849,M,300.3,311.7,1374,47.9,222,6892.088795298359,11.399999999999977,10633.8,1,0.11732142857142858,0,1,0,0,0,0
2941,M,300.7,309.6,1996,19.8,203,4138.60849813305,8.900000000000034,4019.4,1,0.08667750808527193,0,1,0,0,0,0
9015,L,297.2,308.1,1431,49.7,210,7447.742287938786,10.900000000000034,10437.0,1,0.07971428571428571,0,0,0,0,0,0
2671,M,299.7,309.3,1399,41.9,221,6138.473077579728,9.600000000000023,9259.9,1,0.0646283615581398,0,1,0,0,0,0
1996,M,298.4,308.0,1416,38.2,198,5664.41721812854,9.600000000000023,7563.6,1,0.005,0,1,0,0,0,0
9174,L,297.8,308.9,1871,25.6,200,5015.824942819416,11.099999999999966,5120.0,1,0.0025,0,1,0,0,0,0
8506,L,298.4,309.6,1710,27.3,163,4888.632328251077,11.200000000000045,4449.900000000001,1,0.0,0,0,0,0,0,0
