Threshold,False Negatives,False Positives,Expected Cost
0.0,0,7729,1159350
0.00036057692307692304,3,3354,518100
0.0003684210526315789,3,3338,515700
0.00044513457556935815,3,3320,513000
0.0005,3,3169,490350
0.0005681818181818182,3,3157,488550
0.0005952380952380952,3,3154,488100
0.0006428571428571428,3,3151,487650
0.000797872340425532,3,3145,486750
0.0009615384615384616,3,3138,485700
0.0009821428571428572,3,3137,485550
0.001095871040723982,3,3136,485400
0.0011250000000000001,3,3135,485250
0.00125,3,3133,484950
0.0012962962962962963,3,3128,484200
0.0013,3,3126,483900
0.0013043478260869564,3,3124,483600
0.0013194444444444445,3,3121,483150
0.0014772727272727272,3,3120,483000
0.0015079365079365078,3,3119,482850
0.0016,3,3103,480450
0.0016250000000000001,3,3100,480000
0.0016666666666666666,3,3096,479400
0.0017045454545454545,3,3095,479250
0.0017647058823529412,3,3094,479100
0.0017768595041322314,3,3093,478950
0.0018456937799043063,3,3092,478800
0.0019871794871794872,3,3090,478500
0.00203125,3,3089,478350
0.002109375,3,3087,478050
0.0021474358974358974,3,3086,477900
0.0021551724137931034,3,3085,477750
0.0021875,3,3084,477600
0.0022500000000000003,3,3083,477450
0.0023125000000000003,3,3082,477300
0.0024390243902439024,3,3079,476850
0.0024637681159420293,3,3078,476700
0.0025,3,3077,476550
0.0026333041958041957,6,2303,375450
0.0026710526315789473,6,2302,375300
0.002752826883261666,6,2301,375150
0.002857954545454546,6,2300,375000
0.0028605769230769227,6,2299,374850
0.002868421052631579,6,2296,374400
0.002945134575569358,6,2292,373800
0.003,6,2282,372300
0.0030952380952380953,6,2279,371850
0.003142857142857143,6,2276,371400
0.003297872340425532,6,2272,370800
0.0034615384615384616,6,2271,370650
0.003595871040723982,6,2270,370500
0.0036249999999999998,6,2269,370350
0.0036542508417508417,6,2267,370050
0.00375,6,2266,369900
0.0037962962962962963,6,2265,369750
0.0038,6,2263,369450
0.0038043478260869567,6,2262,369300
0.003928571428571429,6,2261,369150
0.004007936507936508,6,2259,368850
0.0040416666666666665,6,2257,368550
0.0041,6,2256,368400
0.004204545454545454,6,2254,368100
0.00425,6,2252,367800
0.004276859504132231,6,2251,367650
0.004318181818181818,6,2245,366750
0.004341397849462365,6,2244,366600
0.0044565217391304346,6,2243,366450
0.004459459459459459,6,2242,366300
0.0045000000000000005,6,2241,366150
0.00453125,6,2240,366000
0.004583333333333333,6,2239,365850
0.004655172413793103,6,2238,365700
0.004684523809523809,6,2237,365550
0.0047395833333333335,6,2236,365400
0.004772727272727273,6,2235,365250
0.004791666666666666,6,2234,365100
0.004805825242718447,6,2233,364950
0.004807692307692308,6,2232,364800
0.004814814814814815,6,2230,364500
0.0048579545454545455,6,2229,364350
0.004883720930232558,6,2228,364200
0.004910714285714286,6,2227,364050
0.004945652173913043,6,2226,363900
0.004963768115942029,6,2224,363600
0.005,6,2223,363450
0.0050664592760181,6,1865,309750
0.005100160256410257,6,1864,309600
0.005193910256410257,6,1863,309450
0.005360576923076923,6,1862,309300
0.005368421052631579,6,1860,309000
0.005401515151515152,6,1852,307800
0.005445134575569358,6,1851,307650
0.005478896103896104,6,1849,307350
0.005496753246753246,6,1848,307200
0.0055681818181818185,6,1847,307050
0.005595238095238095,6,1846,306900
0.005642857142857143,6,1844,306600
0.005735294117647058,6,1841,306150
0.00578125,6,1840,306000
0.0057978723404255314,6,1839,305850
0.005804637281910009,6,1838,305700
0.005961538461538462,6,1837,305550
0.005982142857142857,6,1836,305400
0.006304347826086957,6,1835,305250
0.006319444444444444,6,1834,305100
0.006428571428571428,6,1833,304950
0.006477272727272727,6,1830,304500
0.006499999999999999,6,1829,304350
0.006500000000000001,6,1828,304200
0.006541666666666667,6,1827,304050
0.006574074074074074,6,1826,303900
0.0066,6,1825,303750
0.006764705882352942,6,1822,303300
0.006845693779904306,6,1821,303150
0.0069010416666666664,6,1820,303000
0.006931818181818181,6,1819,302850
0.006956521739130434,6,1818,302700
0.006957251082251081,6,1817,302550
0.006964285714285714,6,1816,302400
0.007147435897435898,6,1815,302250
0.007166666666666667,6,1814,302100
0.0071875,6,1813,301950
0.007213740458015268,6,1812,301800
0.007228260869565217,6,1811,301650
0.0072499999999999995,6,1810,301500
0.007272727272727273,6,1809,301350
0.007279411764705882,6,1808,301200
0.00735,6,1807,301050
0.007427536231884057,6,1806,300900
0.0075,6,1805,300750
0.007664133738601824,9,1610,286500
0.007834150326797386,9,1609,286350
0.007860576923076923,9,1608,286200
0.007868421052631578,9,1607,286050
0.007945134575569357,9,1604,285600
0.007968342074592074,9,1603,285450
0.008037925696594428,9,1602,285300
0.008095238095238095,9,1601,285150
0.008195067663817663,9,1600,285000
0.008569444444444446,9,1599,284850
0.00875,9,1598,284700
0.008897960875331566,9,1597,284550
0.009041666666666667,9,1596,284400
0.009074074074074075,9,1595,284250
0.009204545454545455,9,1594,284100
0.009210526315789473,9,1593,283950
0.009280015197568388,9,1592,283800
0.009326923076923076,9,1591,283650
0.009345693779904306,9,1590,283500
0.009456521739130435,9,1589,283350
0.009464285714285713,9,1588,283200
0.009581339712918661,9,1587,283050
0.00967391304347826,9,1586,282900
0.00968452380952381,9,1585,282750
0.009695121951219512,9,1584,282600
0.009732142857142858,9,1583,282450
0.00975,9,1582,282300
0.009761904761904762,9,1581,282150
0.009772727272727273,9,1580,282000
0.009792395104895104,9,1579,281850
0.009821946169772257,9,1578,281700
0.00985,9,1577,281550
0.009852941176470589,9,1576,281400
0.0098828125,9,1575,281250
0.01,9,1574,281100
0.010044438920212916,9,1444,261600
0.010360576923076924,9,1443,261450
0.010368421052631577,9,1441,261150
0.010373439963029744,9,1439,260850
0.0105,9,1438,260700
0.010568181818181817,9,1436,260400
0.010642857142857143,9,1435,260250
0.010797872340425532,9,1434,260100
0.010938775510204082,9,1432,259800
0.010982142857142855,9,1431,259650
0.011296296296296297,9,1430,259500
0.011600000000000001,9,1429,259350
0.011845693779904307,9,1427,259050
0.011901041666666666,9,1426,258900
0.011958333333333333,9,1425,258750
0.011995293856073518,9,1424,258600
0.01202724358974359,9,1423,258450
0.012142857142857143,9,1422,258300
0.012261904761904762,9,1421,258150
0.012291666666666668,9,1420,258000
0.012302631578947367,9,1419,257850
0.01234375,9,1418,257700
0.012352941176470589,9,1417,257550
0.012361111111111111,9,1416,257400
0.012417763157894737,9,1415,257250
0.012485875706214688,9,1414,257100
0.0125,9,1413,256950
0.012860576923076922,9,1322,243300
0.012868421052631578,9,1319,242850
0.01291897969933952,9,1316,242400
0.013000000000000001,9,1315,242250
0.013168342074592072,9,1314,242100
0.013564660138248847,9,1313,241950
0.01359375,9,1312,241800
0.013928571428571427,9,1310,241500
0.01421875,9,1309,241350
0.014326923076923077,9,1308,241200
0.014456521739130434,9,1307,241050
0.014624999999999999,9,1306,240900
0.014659090909090908,9,1305,240750
0.014666666666666668,9,1304,240600
0.014716981132075473,9,1303,240450
0.014760714285714287,9,1302,240300
0.01484375,9,1301,240150
0.014849999999999999,9,1300,240000
0.014858156028368794,9,1299,239850
0.014948979591836735,9,1298,239700
0.014990774907749077,9,1297,239550
0.015,9,1296,239400
0.015308659754224272,9,1227,229050
0.015360576923076923,9,1226,228900
0.015368421052631578,9,1225,228750
0.015486215853862912,9,1224,228600
0.0163,9,1223,228450
0.01636184210526316,9,1222,228300
0.016394607843137256,9,1221,228150
0.016845693779904306,9,1220,228000
0.017291666666666667,9,1219,227850
0.017307407407407407,9,1218,227700
0.017421875,9,1217,227550
0.0175,9,1216,227400
0.01750720620842572,9,1161,219150
0.018122610329819728,9,1160,219000
0.018282309165929857,9,1159,218850
0.018647642679900746,9,1158,218700
0.01909382284382284,9,1157,218550
0.01925,9,1156,218400
0.01953125,9,1155,218250
